Airport,Terminal,Date,Hour,Average Wait time (US citizen),Max Wait time (US citizen),Average Wait Time (non-US citizen),Max Wait time (non-US citizen),Average Wait time for all passengers,Max Wait time for all passengers,0-15 min,16-30 min,31-45 min,46-60 min,61-90 min,91-120 min,120 plus min,no. of passengers excluded ,Total,Flights,Booths,,,
ATL,Concourse E,1/1/2022,1400 - 1500,16,38,11,36,15,38,90,40,44,0,0,0,0,6,180,1,15,,,
ATL,Concourse E,1/1/2022,1600 - 1700,18,75,22,75,19,75,371,73,82,51,34,0,0,14,625,5,18,,,
ATL,Concourse E,1/1/2022,1700 - 1800,18,54,12,54,17,54,304,57,117,16,0,0,0,13,507,3,16,,,9.680182927
ATL,Concourse E,1/1/2022,1800 - 1900,22,73,21,70,22,73,797,303,60,216,144,0,0,43,1563,9,20,,,3.111299235
ATL,Concourse E,1/1/2022,1900 - 2000,16,54,17,51,17,54,492,214,86,67,0,0,0,23,882,6,20,,,
ATL,Concourse E,1/1/2022,2000 - 2100,10,30,8,20,10,30,73,40,0,0,0,0,0,4,117,1,11,,,
ATL,Concourse F,1/1/2022,0500 - 0600,9,22,9,23,9,23,157,55,0,0,0,0,0,6,218,1,9,,,
ATL,Concourse F,1/1/2022,0600 - 0700,7,25,12,25,9,25,201,63,0,0,0,0,0,4,268,1,10,,,
ATL,Concourse F,1/1/2022,0700 - 0800,10,30,16,30,12,30,131,98,0,0,0,0,0,7,236,1,6,,,
ATL,Concourse F,1/1/2022,0800 - 0900,4,11,5,11,4,11,64,0,0,0,0,0,0,1,65,1,6,,,
ATL,Concourse F,1/1/2022,0900 - 1000,8,18,11,25,9,25,223,50,0,0,0,0,0,5,278,2,6,,,
ATL,Concourse F,1/1/2022,1100 - 1200,3,16,5,15,3,16,416,4,0,0,0,0,0,10,430,3,9,,,
ATL,Concourse F,1/1/2022,1200 - 1300,11,31,18,32,14,32,241,196,17,0,0,0,0,12,466,3,19,,,
ATL,Concourse F,1/1/2022,1300 - 1400,8,20,13,21,9,21,273,64,0,0,0,0,0,12,349,2,16,,,
ATL,Concourse F,1/1/2022,1400 - 1500,9,52,18,63,12,63,334,98,39,18,4,0,0,15,508,2,17,,,
ATL,Concourse F,1/1/2022,1500 - 1600,42,95,66,99,49,99,142,130,179,245,395,35,0,32,1158,6,14,,,
ATL,Concourse F,1/1/2022,1600 - 1700,38,74,45,62,38,74,53,10,114,110,15,0,0,10,312,2,9,,,
ATL,Concourse F,1/1/2022,1700 - 1800,35,57,38,64,36,64,25,39,113,57,6,0,0,7,247,1,11,,,
ATL,Concourse F,1/1/2022,1800 - 1900,52,84,55,84,53,84,90,17,120,219,346,0,0,25,817,5,14,,,
ATL,Concourse F,1/1/2022,1900 - 2000,42,58,36,58,40,58,31,4,34,99,0,0,0,4,172,1,13,,,
ATL,Concourse F,1/1/2022,2000 - 2100,25,45,31,55,26,55,165,388,469,24,0,0,0,41,1087,6,15,,,
ATL,Concourse F,1/1/2022,2100 - 2200,20,38,27,38,22,38,99,228,102,0,0,0,0,18,447,2,14,,,
ATL,Concourse E,1/2/2022,1500 - 1600,6,24,7,20,6,24,366,39,0,0,0,0,0,10,415,2,26,,,
ATL,Concourse E,1/2/2022,1600 - 1700,8,28,9,25,8,28,819,200,0,0,0,0,0,30,1049,7,26,,,
ATL,Concourse E,1/2/2022,1700 - 1800,7,34,10,37,8,37,1074,219,18,0,0,0,0,29,1340,8,25,,,
ATL,Concourse E,1/2/2022,1800 - 1900,12,42,15,35,13,42,773,359,71,0,0,0,0,38,1241,7,22,,,
ATL,Concourse E,1/2/2022,1900 - 2000,6,20,8,18,6,20,542,130,0,0,0,0,0,15,687,4,22,,,
ATL,Concourse E,1/2/2022,2000 - 2100,3,16,6,15,3,16,282,5,0,0,0,0,0,4,291,2,22,,,
ATL,Concourse F,1/2/2022,0500 - 0600,4,17,6,17,5,17,348,13,0,0,0,0,0,12,373,2,11,,,
ATL,Concourse F,1/2/2022,0600 - 0700,7,31,19,41,13,41,281,108,53,0,0,0,0,14,456,2,9,,,
ATL,Concourse F,1/2/2022,0900 - 1000,9,29,14,43,11,43,310,138,14,0,0,0,0,10,472,3,7,,,
ATL,Concourse F,1/2/2022,1000 - 1100,5,17,6,17,5,17,292,12,0,0,0,0,0,5,309,2,7,,,
ATL,Concourse F,1/2/2022,1100 - 1200,5,23,6,23,5,23,298,9,0,0,0,0,0,10,317,2,8,,,
ATL,Concourse F,1/2/2022,1200 - 1300,9,18,11,18,9,18,124,21,0,0,0,0,0,4,149,1,10,,,
ATL,Concourse F,1/2/2022,1300 - 1400,4,18,8,20,6,20,692,49,0,0,0,0,0,19,760,4,23,,,
ATL,Concourse F,1/2/2022,1500 - 1600,7,32,19,50,11,50,400,94,33,13,0,0,0,17,557,3,16,,,
ATL,Concourse F,1/2/2022,1600 - 1700,10,31,13,31,11,31,299,128,3,0,0,0,0,15,445,2,17,,,
ATL,Concourse F,1/2/2022,1700 - 1800,7,31,18,44,15,44,96,44,27,0,0,0,0,5,172,1,15,,,
ATL,Concourse F,1/2/2022,1800 - 1900,18,44,24,58,19,58,319,307,164,9,0,0,0,21,820,4,17,,,
ATL,Concourse F,1/2/2022,1900 - 2000,5,14,9,12,5,14,157,0,0,0,0,0,0,4,161,1,12,,,
ATL,Concourse F,1/2/2022,2000 - 2100,12,48,22,49,14,49,823,634,83,21,0,0,0,44,1605,9,21,,,
ATL,Concourse F,1/2/2022,2100 - 2200,12,22,19,27,14,27,190,152,0,0,0,0,0,11,353,1,19,,,
ATL,Concourse E,1/3/2022,1400 - 1500,4,23,12,28,8,28,183,64,0,0,0,0,0,8,255,1,22,,,
